measurement,created_at,app,rails,ruby,platform
2693923,2011-04-28T16:14:31Z,,2.3.2,ruby-1.8.7.253,i686-darwin10.6.0
2693923,2011-04-28T16:43:46Z,,2.3.2,ruby-1.8.7.253,i686-darwin10.6.0
