measurement,created_at,app,rails,ruby,platform
435546,2011-04-28T16:15:07Z,,2.3.2,ruby-1.8.7.253,i686-darwin10.6.0
384461,2011-04-28T16:46:10Z,,2.3.2,ruby-1.8.7.253,i686-darwin10.6.0
