Thread ID: 2221388780
Total: 8968.000000

 %self     total     self     wait    child    calls  name
  0.04     27.00     4.00     0.00    23.00        1  Array#reverse_each
  0.04     39.00     4.00     0.00    35.00        1  ActionController::Base#log_processing_for_parameters
  0.04      4.00     4.00     0.00     0.00       13  ActiveSupport::BufferedLogger#buffer
  0.04     10.00     4.00     0.00     6.00        2  ActionController::Request#normalize_parameters
  0.04      4.00     4.00     0.00     0.00        4  Module#name
  0.04     18.00     4.00     0.00    14.00        1  ActionController::Base#request_origin
  0.04     13.00     4.00     0.00     9.00        1  ActionController::Integration::Runner#copy_session_variables!
  0.04     35.00     4.00     0.00    31.00        2  ActiveSupport::Callbacks#run_callbacks
  0.04     18.00     4.00     0.00    14.00        1  ActionController::Response#charset=
  0.04     17.00     4.00     0.00    13.00        1  ActionController::Response#initialize
  0.04     14.00     4.00     0.00    10.00        1  ERB::Util#h
  0.03   7356.00     3.00     0.00  7353.00        1  ActiveRecord::ConnectionAdapters::QueryCache#cache
  0.03   6376.00     3.00     0.00  6373.00        1  ActionController::Rescue#clean_backtrace
  0.03   7048.00     3.00     0.00  7045.00        1  ActionController::Filters::InstanceMethods#process
  0.03      3.00     3.00     0.00     0.00        3  TrueClass#to_s
  0.03      3.00     3.00     0.00     0.00        3  Array#compact
  0.03    102.00     3.00     0.00    99.00        1  ActionController::Base#send_response
  0.03      3.00     3.00     0.00     0.00        3  Object#present?
  0.03      7.00     3.00     0.00     4.00        1  ActionController::Base#render_for_text
  0.03      9.00     3.00     0.00     6.00        1  <Object::ActionController::Routing::RouteSet>#recognize_optimized
  0.03      3.00     3.00     0.00     0.00        1  Module#blankslate_original_append_features
  0.03      3.00     3.00     0.00     0.00        4  String#sub!
  0.03     61.00     3.00     0.00    58.00        1  ActionController::Request#request_parameters
  0.03      3.00     3.00     0.00     0.00        3  <Class::StringIO>#allocate
  0.03      4.00     3.00     0.00     1.00        1  ActionController::Base#assign_names
  0.03      3.00     3.00     0.00     0.00        1  String#scan
  0.03     48.00     3.00     0.00    45.00        1  ActionController::Request#query_parameters
  0.03      9.00     3.00     0.00     6.00      135  Hash#[]
  0.03     35.00     3.00     0.00    32.00        1  Rack::Response#to_a
  0.03      4.00     3.00     0.00     1.00        1  ActionController::Response#sending_file?
  0.03     39.00     3.00     0.00    36.00        1  ActionController::Base#initialize_template_class
  0.03     10.00     3.00     0.00     7.00        2  ActionView::Base#template_format
  0.03   7377.00     3.00     0.00  7374.00        1  Rack::MethodOverride#call
  0.03   7390.00     3.00     0.00  7387.00        1  ActionController::RewindableInput#call
  0.03      3.00     3.00     0.00     0.00        1  ActionView::Base::CompiledTemplates#_run_erb_47Users47luke4746rvm47gems47ree451468467452010460247gems47actionpack45246346247lib47action_controller47templates47rescues47layout46erb
  0.03     11.00     3.00     0.00     8.00        1  ActionController::Response#handle_conditional_get!
  0.03    187.00     3.00     0.00   184.00        1  ActionController::Routing::RouteSet#recognize
  0.03    130.00     3.00     0.00   127.00        1  ActionController::Base#assign_shortcuts
  0.03   8680.00     3.00     0.00  8679.00        9  Kernel#__send__
  0.02      2.00     2.00     0.00     0.00        2  Class#read_inheritable_attribute
  0.02    191.00     2.00     0.00   189.00        1  ActionController::Routing::RouteSet#call
  0.02     19.00     2.00     0.00    17.00        1  ActionView::Base#initialize
  0.02      7.00     2.00     0.00     5.00        1  ActiveSupport::Rescuable#handler_for_rescue
  0.02      4.00     2.00     0.00     2.00        4  ActionController::Request#request_method
  0.02   7385.00     2.00     0.00  7383.00        1  ActionController::ParamsParser#call
  0.02      5.00     2.00     0.00     3.00        1  ActionController::Rescue#template_path_for_local_rescue
  0.02      6.00     2.00     0.00     4.00        1  <Class::ActiveRecord::Base>#retrieve_connection
  0.02     36.00     2.00     0.00    34.00        1  ActionController::ProcessWithTest#set_test_assigns
  0.02     50.00     2.00     0.00    48.00        2  Hash#inspect
  0.02      2.00     2.00     0.00     0.00        2  StringIO#read
  0.02      2.00     2.00     0.00     0.00        1  ActionController::Request#path_parameters
  0.02     14.00     2.00     0.00    12.00        1  Mime::Type#=~
  0.02     32.00     2.00     0.00    30.00        2  Enumerable#inject
  0.02      2.00     2.00     0.00     1.00        2  <Class::ActionController::Base>#view_paths
  0.02     10.00     2.00     0.00     8.00        1  ActiveSupport::Callbacks::Callback#should_run_callback?
  0.02      2.00     2.00     0.00     0.00        2  String#strip
  0.02      3.00     2.00     0.00     1.00        1  ActionController::Response#last_modified?
  0.02      3.00     2.00     0.00     1.00        1  ActionController::Response#etag?
  0.02      2.00     2.00     0.00     0.00        2  HashWithIndifferentAccess#include?
  0.02   7370.00     2.00     0.00  7368.00        1  ActiveRecord::ConnectionAdapters::ConnectionManagement#call
  0.02      3.00     2.00     0.00     1.00        1  ActionController::Integration::ControllerCapture::ClassMethods#new
  0.02      5.00     2.00     0.00     3.00        1  Rack::Lint#check_status
  0.02      7.00     2.00     0.00     5.00        1  ActionController::Request#template_format
  0.02      6.00     2.00     0.00     4.00        1  ActionController::Dispatcher#flush_logger
  0.02      6.00     2.00     0.00     4.00        1  ActionController::Base#initialize_current_url
