Thread ID: 2221388780
Total: 14.375439

 %self     total     self     wait    child    calls  name
  0.35      0.08     0.05     0.00     0.03    10000  Class#read_inheritable_attribute
  0.35      0.07     0.05     0.00     0.02    20000  Kernel#===
  0.34      0.05     0.05     0.00     0.00    30000  String#<<
  0.33      0.07     0.05     0.00     0.02    20000  Enumerable#any?
  0.32      0.05     0.05     0.00     0.00    40000  Thread#[]
  0.31      1.18     0.04     0.00     1.13    10000  <Module::Benchmark>#ms
  0.30      0.04     0.04     0.00     0.00    20000  NilClass#blank?
  0.29      0.09     0.04     0.00     0.05    10000  ActiveRecord::ConnectionAdapters::AbstractAdapter#log_info
  0.29      0.12     0.04     0.00     0.08    10000  ActiveRecord::Reflection::ClassMethods#reflections
  0.29      0.04     0.04     0.00     0.00    20000  <Class::User(id: integer, user_name: string)>#table_name
  0.29      0.05     0.04     0.00     0.01    10000  <Class::ActiveRecord::Base>#finder_needs_type_condition?
  0.28      0.04     0.04     0.00     0.00    30000  Fixnum#to_s
  0.28      0.05     0.04     0.00     0.01    10000  <Class::ActiveRecord::Base>#raise_if_bind_arity_mismatch
  0.28      0.04     0.04     0.00     0.00    10000  <Class::ActiveRecord::Base>#default_select
  0.26      1.46     0.04     0.00     1.42    10000  ActiveRecord::ConnectionAdapters::MysqlAdapter#execute
  0.25      0.07     0.04     0.00     0.03    10000  Hash#merge
  0.24      0.05     0.03     0.00     0.01    10000  ActiveSupport::BufferedLogger#debug?
  0.24      1.70     0.03     0.00     1.67    10000  ActiveRecord::ConnectionAdapters::DatabaseStatements#select_all_without_query_cache
  0.23      0.04     0.03     0.00     0.01    10000  ActiveRecord::ConnectionAdapters::MysqlAdapter#quote_column_name
  0.23      0.05     0.03     0.00     0.02    10000  Kernel#dup
  0.22      0.03     0.03     0.00     0.00    20000  Array#join
  0.22      0.03     0.03     0.00     0.00    30000  Array#empty?
  0.22      0.03     0.03     0.00     0.00    20000  Hash#keys
  0.19      0.03     0.03     0.00     0.00    20000  Hash#[]=
  0.18      1.11     0.03     0.00     1.08    10000  Enumerable#map
  0.18      0.03     0.03     0.00     0.00    20000  Kernel#respond_to?
  0.18      0.03     0.03     0.00     0.00    20000  <Class::Time>#allocate
  0.18      0.03     0.03     0.00     0.00    20000  Time#initialize
  0.17      0.02     0.02     0.00     0.00    20000  Array#<<
  0.16      0.02     0.02     0.00     0.00    20000  Kernel#kind_of?
  0.16      0.10     0.02     0.00     0.08    10000  Enumerable#each_with_index
  0.16      0.02     0.02     0.00     0.00    20000  Array#first
  0.16      0.02     0.02     0.00     0.00    20000  Hash#has_key?
  0.15      0.02     0.02     0.00     0.00    20000  Time#to_f
  0.15      0.02     0.02     0.00     0.00    10000  Object#initialize
  0.15      0.02     0.02     0.00     0.00    20000  Hash#blank?
  0.15      0.02     0.02     0.00     0.00    10000  Class#inheritable_attributes
  0.14      0.02     0.02     0.00     0.00    10000  Array#uniq
  0.13      0.02     0.02     0.00     0.00    10000  String#count
  0.12      0.02     0.02     0.00     0.00    10000  Mysql::Result#free
  0.11      0.02     0.02     0.00     0.00    10000  Hash#values
  0.11      0.02     0.02     0.00     0.00    10000  <Class::Hash>#allocate
  0.10      0.01     0.01     0.00     0.00    10000  Mysql::Result#each_hash
  0.10      0.01     0.01     0.00     0.00    10000  Symbol#to_s
  0.10      0.01     0.01     0.00     0.00    10000  Hash#update
  0.09      0.01     0.01     0.00     0.00    10000  Hash#initialize_copy
  0.09      0.01     0.01     0.00     0.00    10000  Array#+
  0.08      0.01     0.01     0.00     0.00    10000  String#include?
  0.08      0.01     0.01     0.00     0.00    10000  Array#collect!
  0.08      0.01     0.01     0.00     0.00    10000  Array#shift
  0.08      0.01     0.01     0.00     0.00    10000  Float#+
  0.08      0.01     0.01     0.00     0.00    10000  Array#[]
  0.08      0.01     0.01     0.00     0.00    10000  <Class::Array>#allocate
  0.08      0.01     0.01     0.00     0.00    10000  Mysql#query_with_result=
  0.08      0.01     0.01     0.00     0.00    10000  Kernel#block_given?
  0.08      0.01     0.01     0.00     0.00    10000  Array#initialize_copy
  0.08      0.01     0.01     0.00     0.00    10000  Array#pop
  0.08      0.01     0.01     0.00     0.00    10000  NilClass#nil?
  0.07      0.01     0.01     0.00     0.00    10000  Symbol#to_sym
  0.07      0.01     0.01     0.00     0.00    10000  Float#-
  0.07      0.01     0.01     0.00     0.00    10000  Fixnum#>=
  0.07      0.01     0.01     0.00     0.00    10000  Fixnum#==
  0.07      0.01     0.01     0.00     0.00    10000  Fixnum#*
  0.07      0.01     0.01     0.00     0.00    10000  Array#size
  0.07      0.01     0.01     0.00     0.00    10000  Symbol#===
  0.07      0.01     0.01     0.00     0.00    10000  Integer#to_i


