measurement,created_at,app,rails,ruby,platform
170789.947265625,2011-04-28T16:14:13Z,,2.3.2,ruby-1.8.7.253,i686-darwin10.6.0
170789.947265625,2011-04-28T16:42:33Z,,2.3.2,ruby-1.8.7.253,i686-darwin10.6.0
