Thread ID: 2221388780
Total: 2694179.000000

 %self     total     self     wait    child    calls  name
  0.37  10019.00 10000.00     0.00    19.00    10000  Class#read_inheritable_attribute
  0.37  10018.00 10000.00     0.00    18.00    10000  Mysql::Result#all_hashes
  0.37  170187.00 10000.00     0.00 160187.00    10000  ActiveRecord::ConnectionAdapters::MysqlAdapter#execute
  0.37  10000.00 10000.00     0.00     0.00    10000  Fixnum#*
  0.37  10000.00 10000.00     0.00     0.00    10000  Hash#values
  0.37  10000.00 10000.00     0.00     0.00    10000  Array#+
  0.37  10000.00 10000.00     0.00     0.00    10000  <Class::Hash>#allocate
  0.37  10000.00 10000.00     0.00     0.00    10000  Float#-
  0.37  70036.00 10000.00     0.00 60036.00    10000  <Class::ActiveRecord::Base>#construct_attributes_from_arguments


