Thread ID: 2221388780
Total: 1058.715820

 %self     total     self     wait    child    calls  name
1701532948111008.25      0.00 18014398509480926.00     0.00  1058.72        1  ActiveSupport::Testing::Performance::Profiler#run
  0.10      1.02     1.02     0.00     0.00        1  Hash#update
  0.10      1.01     1.01     0.00     0.00        4  String#gsub
  0.09      1.19     0.98     0.00     0.22        1  ActionController::Request#session
  0.09      0.95     0.95     0.00     0.00        8  Kernel#instance_variable_set
  0.09      8.64     0.91     0.00     7.73        3  ActiveSupport::CoreExtensions::Hash::IndifferentAccess#with_indifferent_access
  0.09      4.35     0.91     0.00     3.44        3  <Class::Rack::Request>#new
  0.09      0.91     0.91     0.00     0.00        2  Array#flatten
  0.08     25.48     0.90     0.00    24.58        3  ActiveSupport::BufferedLogger#add
  0.08     15.85     0.90     0.00    14.95        3  ActiveSupport::BufferedLogger#auto_flush
  0.08      0.89     0.89     0.00     0.00        3  Mime::Type#to_s
  0.08      4.17     0.89     0.00     3.28       14  Hash#merge
  0.08      6.57     0.89     0.00     5.68        3  ActionController::Response#charset
  0.08      7.99     0.89     0.00     7.10        2  ActionController::Request#normalize_parameters
  0.08      3.46     0.84     0.00     2.62        1  ActionController::Request#path
  0.08      8.89     0.83     0.00     8.06        2  Hash#inspect
  0.08      0.82     0.82     0.00     0.00        4  String#sub!
  0.08     79.39     0.81     0.00    78.58        1  ActionController::Rescue#rescue_action_locally
  0.08      0.80     0.80     0.00     0.00        3  Hash#key?
  0.08      0.80     0.80     0.00     0.00        4  Object#initialize
  0.08      1.16     0.80     0.00     0.37        3  Kernel#Array
  0.08      0.80     0.80     0.00     0.00        3  IO#write
  0.08      0.80     0.80     0.00     0.00        3  Class#superclass
  0.08      0.80     0.80     0.00     0.00        3  Hash#default=
  0.08      0.80     0.80     0.00     0.00        3  Fixnum#>
  0.08      0.80     0.80     0.00     0.00        3  NilClass#nil?
  0.07     14.42     0.79     0.00    13.62        1  ActionView::Base#initialize
  0.07     27.45     0.78     0.00    26.67        1  ActionController::Base#render_for_file
  0.07      0.76     0.76     0.00     0.00        1  Regexp#initialize
  0.07    512.02     0.74     0.00   511.28        1  ActionController::Dispatcher#dispatch
  0.07      2.30     0.73     0.00     1.57        4  ActionController::Request#request_method
  0.07     49.64     0.72     0.00    48.92        1  ActionController::Base#assign_shortcuts
  0.07      5.40     0.71     0.00     4.69        2  ActionView::Base#template_format
  0.07      1.58     0.71     0.00     0.88        2  ActionView::Template#mime_type
  0.07     47.94     0.70     0.00    47.24        2  ActionController::Request#parameters
  0.07      1.06     0.70     0.00     0.36        1  ActionController::Session::AbstractStore::SessionHash#initialize
  0.07      0.70     0.70     0.00     0.00        2  Class#inheritable_attributes
  0.07      1.84     0.70     0.00     1.14        2  Class#read_inheritable_attribute
  0.07      0.70     0.70     0.00     0.00        2  ActionController::Integration::ControllerCapture::ClassMethods#last_instantiation=
  0.07      0.70     0.70     0.00     0.00        2  ActionController::Integration::ControllerCapture::ClassMethods#last_instantiation
  0.07      1.28     0.70     0.00     0.58        7  <Object::ActionController::Routing::Route>#recognize
  0.07      1.13     0.70     0.00     0.44        7  <Object::ActionController::Routing::Route>#recognize
  0.07      2.55     0.70     0.00     1.85        2  HashWithIndifferentAccess#include?
  0.07      3.98     0.70     0.00     3.28        2  HashWithIndifferentAccess#dup
  0.07     29.24     0.69     0.00    28.54        2  ActionView::Base#with_template
  0.07      1.13     0.69     0.00     0.44        2  Rack::Request#request_method
  0.07      2.38     0.69     0.00     1.69        2  ActiveSupport::CoreExtensions::Hash::ReverseMerge#reverse_merge
  0.07      1.58     0.69     0.00     0.89        2  Rack::Utils::HeaderHash#include?
  0.06      1.79     0.69     0.00     1.10        2  ActionController::Rescue#rescues_path
  0.06      0.90     0.69     0.00     0.46        2  <Class::ActionController::Base>#view_paths
  0.06     21.99     0.68     0.00    21.31        1  ActionController::Base#initialize_template_class
  0.06    446.79     0.68     0.00   446.11        1  ActionController::Filters::InstanceMethods#process
  0.06     17.31     0.68     0.00    16.63        2  ActiveSupport::BufferedLogger#info
  0.06     12.86     0.68     0.00    12.18        1  ActionView::Base#initialize_without_template_tracking
  0.06    155.42     0.68     0.00   154.74        1  Rack::Lint#check_env
  0.06      2.01     0.68     0.00     1.55        2  ActionController::StatusCodes#interpret_status
  0.06      1.25     0.67     0.00     0.58        3  StringIO#initialize
  0.06     14.28     0.67     0.00    13.61        2  ActionController::Response#content_type=
  0.06      3.41     0.67     0.00     2.74        2  ActionController::Request#method
  0.06     35.52     0.67     0.00    34.85        2  ActionView::Renderable#render_without_template_tracking
  0.06      0.67     0.67     0.00     0.00        2  ActionView::Renderable#recompile?
  0.06      5.62     0.67     0.00     4.95        2  ActionView::Renderable#compile
  0.06     38.30     0.67     0.00    37.63        2  ActionView::Renderable#render
  0.06     38.96     0.67     0.00    38.30        2  ActionView::Template#render_template
  0.06      1.10     0.67     0.00     0.44        2  ActionView::Template::EagerPath#[]
  0.06      1.10     0.66     0.00     0.44        2  ActionView::PathSet#find_template
  0.06     12.92     0.66     0.00    12.26        2  ActionView::Base#_set_controller_content_type
  0.06      0.66     0.66     0.00     0.00        2  ActionView::Base#template
  0.06      0.66     0.66     0.00     0.00        4  ActionView::Base#template=
  0.06      4.44     0.66     0.00     3.78        2  ActionView::Base#_evaluate_assigns_and_ivars
  0.06      0.64     0.64     0.00     0.00        1  ActionController::UrlRewriter#initialize
  0.06    540.68     0.64     0.00   540.04        1  ActionController::Failsafe#call
  0.06      1.08     0.64     0.00     0.44        2  Set#include?
  0.06      0.85     0.63     0.00     0.22        1  ActionController::RewindableInput::RewindableIO#initialize
  0.06      0.61     0.61     0.00     0.00        1  Rack::Lint::ErrorWrapper#initialize
  0.06      0.61     0.61     0.00     0.00        1  Rack::Lint::InputWrapper#initialize
  0.06      0.61     0.61     0.00     0.00        1  Rack::Lint#initialize
  0.06      2.67     0.60     0.00     2.06        1  ActionController::Routing::RouteSet#extract_request_environment
  0.06      0.60     0.60     0.00     0.00        3  Array#compact
  0.06      3.99     0.60     0.00     3.40        1  ActionController::ProcessWithTest#set_test_assigns
  0.06      0.59     0.59     0.00     0.00        2  String#strip
  0.06      2.16     0.59     0.00     1.57        2  Array#map!
  0.06      0.59     0.59     0.00     0.00        2  String#upcase
  0.06      0.58     0.58     0.00     0.00        1  ActionView::Base::ProxyModule#initialize
  0.05      2.28     0.58     0.00     1.70        1  Rack::Utils::HeaderHash#to_hash
  0.05      0.58     0.58     0.00     0.00        2  StringIO#read
  0.05      0.58     0.58     0.00     0.00        7  String#concat
  0.05      0.58     0.58     0.00     0.00       33  String#<<
  0.05      0.58     0.58     0.00     0.00        3  Fixnum#+
  0.05      0.58     0.58     0.00     0.00        2  Kernel#=~
  0.05      2.23     0.58     0.00     1.66        2  Kernel#extend
  0.05      0.58     0.58     0.00     0.00        3  String#=~
  0.05      0.58     0.58     0.00     0.00        2  Exception#backtrace
  0.05      0.58     0.58     0.00     0.00        3  <Class::StringIO>#allocate
  0.05      1.96     0.58     0.00     1.38        8  Kernel#inspect
  0.05      2.42     0.58     0.00     1.84        2  Enumerable#inject
  0.05      0.58     0.58     0.00     0.00        2  Exception#to_s
  0.05      0.58     0.58     0.00     0.00        2  Module#extended
  0.05      0.58     0.58     0.00     0.00      535  String#include?
  0.05      1.16     0.58     0.00     0.58        2  Exception#message
  0.05      0.58     0.58     0.00     0.00        3  String#to_i
  0.05      0.58     0.58     0.00     0.00        2  Module#method_defined?
  0.05      0.58     0.58     0.00     0.00        2  Kernel#initialize_copy
  0.05    540.04     0.57     0.00   539.48        1  ActionController::Session::CookieStore#call
  0.05      1.25     0.56     0.00     0.69        1  ActionController::Request#path_parameters
  0.05    527.38     0.55     0.00   526.83        1  Rack::Head#call
  0.05    446.11     0.54     0.00   445.57        1  ActionController::Base#process_without_filters
  0.05     15.83     0.54     0.00    15.29        3  ActionController::RewindableInput::RewindableIO#method_missing
  0.05    224.42     0.54     0.00   223.88        1  <Module::ActiveSupport::Deprecation>#silence
  0.05      0.53     0.53     0.00     0.00        1  Exception#initialize
  0.05    514.96     0.53     0.00   514.43        1  ActiveRecord::ConnectionAdapters::QueryCache#cache
  0.05     23.48     0.53     0.00    22.96        1  Rack::Request#POST
  0.05    528.34     0.53     0.00   527.82        1  Rack::MethodOverride#call
  0.05     99.27     0.53     0.00    98.74        1  Rack::Lint#check_headers
  0.05    820.48     0.52     0.00   819.95        1  Rack::Lint#_call
  0.05    512.54     0.52     0.00   512.02        1  ActionController::Dispatcher#_call
  0.05    526.39     0.52     0.00   525.88        1  ActiveRecord::ConnectionAdapters::ConnectionManagement#call
  0.05      0.52     0.52     0.00     0.00        1  String#scan
  0.05      3.45     0.51     0.00     2.94        1  Rack::Response#to_a
  0.05      3.39     0.51     0.00     2.88        1  ActionView::Base::CompiledTemplates#_run_erb_47Users47luke4746rvm47gems47ree451468467452010460247gems47actionpack45246346247lib47action_controller47templates47rescues47routing_error46erb
  0.05      2.01     0.51     0.00     1.50        1  ActionController::Request#content_type
  0.05     10.91     0.51     0.00    10.40        1  ActionView::Base#view_paths=
  0.05   1054.89     0.50     0.00  1054.39        1  ActionController::Integration::Session#get
  0.05    822.05     0.50     0.00   821.55        1  Rack::Lint#call
  0.05    208.02     0.50     0.00   207.52        1  Rack::Lint#each
  0.05    533.04     0.50     0.00   532.55        1  ActionController::ParamsParser#call
  0.05      1.64     0.50     0.00     1.14        1  Object#returning
  0.05      4.45     0.50     0.00     3.96        1  <Class::ActiveRecord::Base>#retrieve_connection
  0.05      4.95     0.50     0.00     4.45        1  <Class::ActiveRecord::Base>#connection
  0.05   1057.96     0.50     0.00  1057.47        1  ActionController::Integration::Runner#get
  0.05     23.29     0.49     0.00    22.80        1  ActionController::Routing::RouteSet#recognize_path
  0.05     12.20     0.49     0.00    11.70        1  Rack::Lint#check_input
  0.05    206.68     0.49     0.00   206.19        1  ActiveSupport::BacktraceCleaner#clean
  0.05     12.06     0.49     0.00    11.56        1  Rack::Lint#check_error
  0.05    542.01     0.49     0.00   541.52        1  Rack::Lock#call
  0.05    535.26     0.49     0.00   534.77        1  ActionController::RewindableInput#call
  0.05    208.05     0.49     0.00   207.56        1  ActionController::Rescue#clean_backtrace
  0.05      1.91     0.49     0.00     1.42        1  ActiveRecord::ConnectionAdapters::ConnectionPool#connection
  0.05    542.50     0.49     0.00   542.01        1  ActionController::Dispatcher#call
  0.05      3.48     0.49     0.00     2.99        1  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  0.05      1.08     0.49     0.00     0.60        1  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  0.05      1.21     0.49     0.00     0.72        1  ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id
  0.05      0.49     0.49     0.00     0.00        1  Regexp#to_s
  0.05      1.15     0.49     0.00     0.66        1  Array#inspect
  0.05      1.71     0.48     0.00     1.23        1  <Class::Exception>#exception
  0.05      0.84     0.48     0.00     0.36        1  ActiveRecord::ConnectionAdapters::QueryCache#clear_query_cache
  0.05    310.50     0.48     0.00   310.01        1  ActionController::Rescue#rescue_action
  0.05    306.11     0.48     0.00   305.63        1  ActionController::Rescue#rescue_action_without_handler
  0.05      6.07     0.48     0.00     5.59        1  ActionController::Base#request_origin
  0.05      1.01     0.48     0.00     0.53        1  ActionController::RoutingError#initialize
  0.05      3.20     0.48     0.00     2.72        1  ActionController::Base#initialize_current_url
  0.05      1.57     0.48     0.00     1.09        1  ActionController::Base#assign_names
  0.05      6.08     0.48     0.00     5.60        1  ActionController::Base#log_processing_for_parameters
  0.05      1.14     0.48     0.00     0.66        1  ActionController::Integration::Runner#copy_session_variables!
  0.05      0.48     0.48     0.00     0.00        1  <Class::ActiveRecord::Base>#connection_handler
  0.05      0.48     0.48     0.00     0.00        1  <Class::ActionController::Base>#logger
  0.05      0.48     0.48     0.00     0.00        1  <Class::ActionController::Base>#protected_instance_variables
  0.05      0.48     0.48     0.00     0.00        1  ActionController::Base#rescue_responses
  0.05      0.48     0.48     0.00     0.00        1  ActionController::Base#consider_all_requests_local
  0.05      0.48     0.48     0.00     0.00        1  ActionController::Base#protected_instance_variables
  0.05      0.48     0.48     0.00     0.00        1  <Class::ActiveRecord::Base>#configurations
  0.05      0.48     0.48     0.00     0.00        1  <Class::ActionController::Base>#relative_url_root
  0.05      0.48     0.48     0.00     0.00        1  <Class::ActionController::Base>#default_charset
  0.05      0.48     0.48     0.00     0.00        1  ActionController::Base#rescue_templates
  0.05      8.95     0.48     0.00     8.47        1  ActiveSupport::Callbacks::Callback#call
  0.05      2.50     0.48     0.00     2.03        1  ActionController::Routing::RouteSet#to_plain_segments
  0.05      3.03     0.48     0.00     2.55        1  HashWithIndifferentAccess#merge
  0.05      1.13     0.48     0.00     0.66        4  HashWithIndifferentAccess#delete
  0.04      0.69     0.47     0.00     0.22        1  Rack::Request#content_length
  0.04      5.78     0.47     0.00     5.30        1  Rack::Request#GET
  0.04      0.91     0.47     0.00     0.44        1  ActionView::Template#path_without_format_and_extension
  0.04      0.69     0.47     0.00     0.22        1  <Module::Rack::Utils::Multipart>#parse_multipart
  0.04      0.91     0.47     0.00     0.44        1  ActionView::Base::CompiledTemplates#_run_erb_47Users47luke4746rvm47gems47ree451468467452010460247gems47actionpack45246346247lib47action_controller47templates47rescues47layout46erb
  0.04     13.37     0.47     0.00    12.90        1  Rack::Lint::InputWrapper#read
  0.04      1.29     0.47     0.00     0.82        1  ActiveSupport::CoreExtensions::Time::Conversions#to_s
  0.04      6.08     0.47     0.00     5.61        1  Rack::Lint#check_content_length
  0.04      4.64     0.47     0.00     4.17        1  Rack::Lint#check_status
  0.04      3.06     0.47     0.00     2.59        1  ActiveSupport::Callbacks::Callback#should_run_callback?
  0.04      6.02     0.47     0.00     5.55        1  Rack::Lint#check_content_type
  0.04     22.17     0.47     0.00    21.70        1  ActionController::Base#log_processing_for_request_id
  0.04      0.47     0.47     0.00     0.00        1  <Class::Module>#allocate
  0.04      0.47     0.47     0.00     0.00        1  ActionController::Session::AbstractStore::SessionHash#loaded?
  0.04    461.84     0.47     0.00   461.38        1  ActionController::Rescue::ClassMethods#call_with_exception
  0.04      2.94     0.46     0.00     2.48        1  ActiveSupport::CoreExtensions::Hash::Except#except!
  0.04     29.89     0.46     0.00    29.42        1  ActionController::Routing::RouteSet#recognize
  0.04    128.43     0.46     0.00   127.96        1  ActiveSupport::BacktraceCleaner#filter
  0.04     77.76     0.46     0.00    77.30        1  ActiveSupport::BacktraceCleaner#silence
  0.04     31.58     0.46     0.00    31.12        1  ActionController::Routing::RouteSet#call
  0.04      5.41     0.46     0.00     4.95        1  ActiveSupport::Callbacks::Callback#evaluate_method
  0.04      3.45     0.46     0.00     2.99        1  ActiveSupport::Rescuable#handler_for_rescue
  0.04      4.82     0.46     0.00     4.36        1  Mime::Type#=~
  0.04     10.93     0.46     0.00    10.47        1  ActionController::Response#assign_default_content_type_and_charset!
  0.04      9.30     0.46     0.00     8.84        1  ActiveSupport::BufferedLogger#fatal
  0.04      0.82     0.46     0.00     0.36        1  ActiveSupport::BufferedLogger#info?
  0.04      0.92     0.46     0.00     0.46        3  Object#present?
  0.04      0.68     0.46     0.00     0.22        1  Object#blank?
  0.04      4.20     0.46     0.00     3.75        1  ActionController::ParamsParser#parse_formatted_parameters
  0.04      1.17     0.46     0.00     0.72        1  ActionController::Integration::Session#encode_cookies
  0.04      0.46     0.46     0.00     0.00        3  ActionController::Integration::Session#https?
