measurement,created_at,app,rails,ruby,platform
4.52353370189667,2011-04-28T16:13:55Z,,2.3.2,ruby-1.8.7.253,i686-darwin10.6.0
4.61089396476746,2011-04-28T16:41:21Z,,2.3.2,ruby-1.8.7.253,i686-darwin10.6.0
