measurement,created_at,app,rails,ruby,platform
3,2011-04-28T16:14:49Z,,2.3.2,ruby-1.8.7.253,i686-darwin10.6.0
3,2011-04-28T16:44:59Z,,2.3.2,ruby-1.8.7.253,i686-darwin10.6.0
